After training 10.26 hours, episode: 34400.0, frames: 8.65M, average reward: 4.50
After training 10.30 hours, episode: 34500.0, frames: 8.67M, average reward: 6.18
After training 10.33 hours, episode: 34600.0, frames: 8.69M, average reward: 3.31
After training 10.35 hours, episode: 34700.0, frames: 8.72M, average reward: 3.99
After training 10.38 hours, episode: 34800.0, frames: 8.74M, average reward: 6.78
After training 10.42 hours, episode: 34900.0, frames: 8.77M, average reward: 6.02
After training 10.45 hours, episode: 35000.0, frames: 8.79M, average reward: 3.39
After training 10.48 hours, episode: 35100.0, frames: 8.82M, average reward: 4.61
After training 10.51 hours, episode: 35200.0, frames: 8.84M, average reward: 5.69
After training 10.54 hours, episode: 35300.0, frames: 8.87M, average reward: 3.34
After training 10.57 hours, episode: 35400.0, frames: 8.90M, average reward: 6.95
After training 10.61 hours, episode: 35500.0, frames: 8.92M, average reward: 4.50
After training 10.64 hours, episode: 35600.0, frames: 8.95M, average reward: 5.59
After training 10.67 hours, episode: 35700.0, frames: 8.97M, average reward: 6.03
After training 10.70 hours, episode: 35800.0, frames: 8.99M, average reward: 3.21
After training 10.74 hours, episode: 35900.0, frames: 9.02M, average reward: 5.99
After training 10.76 hours, episode: 36000.0, frames: 9.05M, average reward: 6.37
After training 10.79 hours, episode: 36100.0, frames: 9.07M, average reward: 4.13
After training 10.82 hours, episode: 36200.0, frames: 9.10M, average reward: 3.91
After training 10.85 hours, episode: 36300.0, frames: 9.12M, average reward: 3.55
After training 10.88 hours, episode: 36400.0, frames: 9.15M, average reward: 6.26
After training 10.91 hours, episode: 36500.0, frames: 9.17M, average reward: 6.64
After training 10.93 hours, episode: 36600.0, frames: 9.20M, average reward: 6.09
After training 10.96 hours, episode: 36700.0, frames: 9.22M, average reward: 5.39
After training 10.99 hours, episode: 36800.0, frames: 9.25M, average reward: 6.96
After training 11.02 hours, episode: 36900.0, frames: 9.28M, average reward: 6.75
After training 11.05 hours, episode: 37000.0, frames: 9.30M, average reward: 3.10
After training 11.08 hours, episode: 37100.0, frames: 9.33M, average reward: 3.13
After training 11.11 hours, episode: 37200.0, frames: 9.35M, average reward: 4.73
After training 11.14 hours, episode: 37300.0, frames: 9.37M, average reward: 3.50
After training 11.17 hours, episode: 37400.0, frames: 9.40M, average reward: 4.10
After training 11.20 hours, episode: 37500.0, frames: 9.42M, average reward: 3.41
After training 11.23 hours, episode: 37600.0, frames: 9.45M, average reward: 4.45
After training 11.26 hours, episode: 37700.0, frames: 9.47M, average reward: 3.06
After training 11.28 hours, episode: 37800.0, frames: 9.50M, average reward: 6.20
